Reference of FxCop coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
,Seal methods that satisfy private interfaces,FXCOP_SMTSPI,VULNERABILITY,Critical
,Secure asserts,FXCOP_SA,VULNERABILITY,Blocker
,Secure serialization constructors,FXCOP_SESECO,VULNERABILITY,Blocker
,Secured types should not expose fields,FXCOP_STSNEF,VULNERABILITY,Blocker
,Security critical constants should be transparent,FXCOP_CSBT,BUG,Minor
,Security critical types may not participate in type equivalence,FXCOP_CTMNPITE,BUG,Blocker
,Static constructors should be private,FXCOP_SCSBP,BUG,Critical
,Transparent code may not use security asserts,FXCOP_TMMNUSA,BUG,Blocker
,Transparent code may not use security critical attributes,FXCOP_TCMNUCA,BUG,Critical
,Transparent code must not reference security critical items,FXCOP_TMMNRCC,BUG,Blocker
,Transparent code should not be protected with LinkDemands,FXCOP_TMSNBPWLD,BUG,Minor
,Transparent code should not load assemblies from byte arrays,FXCOP_TMSNLAFBA,VULNERABILITY,Minor
,Transparent methods may not use the HandleProcessCorruptingExceptions attribute,FXCOP_TMMNHPCE,BUG,Critical
,Transparent methods must contain only verifiable IL,FXCOP_TMMBV,VULNERABILITY,Critical
,Transparent methods must not call into native code,FXCOP_TMMNCNC,VULNERABILITY,Critical
,Transparent methods must not call methods with the SuppressUnmanagedCodeSecurity attribute,FXCOP_TMMNCSUCSM,VULNERABILITY,Critical
,Transparent methods must not satisfy LinkDemands,FXCOP_TMMNSLD,VULNERABILITY,Critical
,Transparent methods should not be decorated with the SuppressUnmanagedCodeSecurityAttribute,FXCOP_TMSNUSUCS,VULNERABILITY,Minor
,Transparent methods should not use security demands,FXCOP_TMSND,VULNERABILITY,Major
,Type link demands require inheritance demands,FXCOP_TLDRID,VULNERABILITY,Blocker
,Types must be at least as critical as their base types and interfaces,FXCOP_TMBALACABT,VULNERABILITY,Blocker
,Wrap vulnerable finally clauses in outer try,FXCOP_WVFCIOT,VULNERABILITY,Critical
Microsoft.Usage Rules,Attribute string literals should parse correctly,FXCOP_ASLSPC,BUG,Minor
,Call base class methods on ISerializable types,FXCOP_CBCMOT,BUG,Critical
,Call GC.SuppressFinalize correctly,FXCOP_CFC,BUG,Major
,Collection properties should be read only,FXCOP_CPSBRO,BUG,Minor
,Disposable fields should be disposed,FXCOP_DFSBD,VULNERABILITY,Minor
,Disposable types should declare finalizer,FXCOP_DTSDF,BUG,Critical
,Do not call overridable methods in constructors,FXCOP_DNCOMIC,BUG,Major
,Do not decrease inherited member visibility,FXCOP_DNDIMV,BUG,Critical
,Do not ignore method results,FXCOP_DNIMR,BUG,Minor
,Do not mark enums with FlagsAttribute,FXCOP_DNMEWF,BUG,Critical
,Do not mark serviced components with WebMethod,FXCOP_DNMSCWWM,BUG,Major
,Do not raise exceptions in exception clauses,FXCOP_DNREIEC,BUG,Critical
,Do not raise reserved exception types,FXCOP_DNRRET,BUG,Critical
,Do not ship unreleased resource formats,FXCOP_DNSURF,VULNERABILITY,Critical
,Finalizers should be protected,FXCOP_FSBP,BUG,Blocker
,Finalizers should call base class finalizer,FXCOP_FSCBCF,BUG,Blocker
,Implement ISerializable correctly,FXCOP_IMCO,BUG,Critical
,Implement serialization constructors,FXCOP_ISC,BUG,Critical
,Implement serialization methods correctly,FXCOP_ISMC,BUG,Critical
,Initialize value type static fields inline,FXCOP_IVTSFI,BUG,Blocker
,Instantiate argument exceptions correctly,FXCOP_IAEC,BUG,Blocker
,Mark all non-serializable fields,FXCOP_MANSF,BUG,Critical
,Mark ISerializable types with SerializableAttribute,FXCOP_MTWS,BUG,Minor
,Mark Windows Forms entry points with STAThread,FXCOP_MWFEPWST,BUG,Critical
,Members should differ by more than return type,FXCOP_MSDBMTRT,BUG,Critical
,Non-constant fields should not be visible,FXCOP_NCFSNBV,BUG,Minor
,Operations should not overflow,FXCOP_OSNO,VULNERABILITY,Major
,Operator overloads have named alternates,FXCOP_OOHNA,BUG,Critical
,Operators should have symmetrical overloads,FXCOP_OSHSO,BUG,Blocker
,Overload operator equals on overriding ValueType.Equals,FXCOP_OOEOOVTE,BUG,Minor
,Override Equals on overloading operator equals,FXCOP_OEOOOE,BUG,Critical
,Override GetHashCode on overriding Equals,FXCOP_OGHCOOE,BUG,Critical
,Pass System.Uri objects instead of strings,FXCOP_PSUOIOS,BUG,Minor
,Provide deserialization methods for optional fields,FXCOP_PDMFOF,BUG,Minor
,Rethrow to preserve stack details,FXCOP_RTPSD,BUG,Critical
,Review unused parameters,FXCOP_RUP,CODE_SMELL,Minor
,Test for NaN correctly,FXCOP_TFN,BUG,Blocker
,Use managed equivalents of Win32 API,FXCOP_UMEOW,BUG,Critical
,Use params for variable arguments,FXCOP_UPFVA,BUG,Critical
